epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.4638614356517792,0.30934882164001465,0.342327743768692,1e-04,0.6906725764274597,0.6534013152122498,0.19763541221618652,0.11035528033971786,0.7168086171150208,0.176406130194664,0.9976246356964111
1,0.621662974357605,0.4577174782752991,0.18370264768600464,1e-04,0.90836101770401,0.6314541101455688,0.19814646244049072,0.11061950027942657,0.632427990436554,0.2684936225414276,0.2595920264720917
2,0.6841292381286621,0.5262171626091003,0.14175918698310852,1e-04,0.9382548332214355,0.6271634101867676,0.2038465142250061,0.1140933632850647,0.5999259352684021,0.2588590383529663,0.24475593864917755
3,0.7157426476478577,0.563213586807251,0.12359760701656342,1e-04,0.9435877799987793,0.6332942247390747,0.20881789922714233,0.1171228438615799,0.4860990643501282,0.17988742887973785,0.13476821780204773
4,0.7402288913726807,0.593574047088623,0.11016711592674255,1e-04,0.9482072591781616,0.6432626843452454,0.2023824006319046,0.11326673626899719,0.5072181224822998,0.16286075115203857,0.12486261129379272
5,0.7577654719352722,0.6153783798217773,0.10135169327259064,1e-04,0.9505778551101685,0.6485846042633057,0.31691017746925354,0.1895955353975296,1.2453925609588623,0.33213385939598083,0.6400200724601746
6,0.7727277874946594,0.6345790028572083,0.09477143734693527,1e-04,0.9515297412872314,0.654181182384491,0.36908164620399475,0.2277161031961441,1.1664949655532837,0.3854781687259674,0.6208902597427368
7,0.7853261232376099,0.6511855721473694,0.08928677439689636,1e-04,0.9527078866958618,0.6584682464599609,0.4170544445514679,0.2653074264526367,0.8490424752235413,0.400700181722641,0.7381489872932434
8,0.7972258925437927,0.66698157787323,0.08391058444976807,1e-04,0.9534116983413696,0.662811815738678,0.4847337007522583,0.3250442147254944,0.6463802456855774,0.4486827254295349,0.5877636075019836
9,0.8108625411987305,0.6857083439826965,0.07687792181968689,1e-05,0.9560198187828064,0.6726166009902954,0.5714506506919861,0.4055120348930359,0.22598648071289062,0.6178482174873352,0.5420295000076294
